koru_id,past_rest,positive_rest,future_rest,negative_rest,friends_rest,past_med,positive_med,future_med,negative_med,friends_med
1,4.25,6.25,7.5,6.75,5,2.75,4.75,8.25,4.75,1
3,2.75,9,7,2.5,8.5,1,3.5,2,1.5,2.5
6,1,1,2.75,2,1,1,1,1.75,2,1
7,3.25,7.75,5.25,5.25,8,1.75,4.5,5,4.75,7
9,6.75,8.75,8,4.75,6,5,5.75,8,4.25,5.5
12,6,5.25,7,4.5,5.5,5,6,8.25,5,4
14,4.5,7,5.75,4.25,8.5,1,2.75,2.25,1,3
16,2.5,7.75,6.25,3.5,4.5,1.5,6.5,2.75,1,2
32,4.5,7.5,6.5,2,4.5,2.25,3.25,4.25,4.25,4
38,5.75,6.5,9,5,2,5,5.25,9,7,5
43,5.5,7,6.25,5.5,4,1,3.5,1.75,3,2.5
44,3,5,5,3,3,2.5,6.75,4,1.25,4
48,6.75,4.5,1,1,5,2,2.75,1.25,1,1
50,2,5,6.5,4.5,3,2,5,6,3,1